UserID,Username,Password,Email,UserType,CreationDate
46,russolinda,K0r$2BJm#U,fjordan@example.net,Driver,2023-12-27 07:33:37
47,donaldgarcia,Ep7EDefo+&,benjamin91@example.com,Customer,2022-05-20 08:33:02
48,cross,!9IY_sbOg8,angie71@example.net,RestaurantAdmin,2023-02-20 12:05:14
49,melissa07,#UKChH2z70,zachary99@example.org,RestaurantAdmin,2022-01-04 22:04:11
50,gardnerkristin,2nbr_uYd+#,matthewrodriguez@example.org,PlatformAdmin,2021-08-16 15:30:12
51,jacksonalexandria,l+tEq#B(+2,michaelcowan@example.com,Driver,2024-01-20 03:36:04
52,mdyer,lj+5YofJ+5,michaelpollard@example.org,PlatformAdmin,2023-12-06 03:18:46
53,elong,#lpAf2^&(5,zstone@example.com,RestaurantAdmin,2022-10-19 02:19:51
54,lhicks,A3*B4niV$Z,rowemadison@example.com,PlatformAdmin,2023-09-14 14:06:20
55,christyanderson,EvrYG4ED)*,jennifer86@example.net,Driver,2021-01-14 17:13:50
56,jonathanwilliams,0ZY+8BuT_T,seth13@example.org,Driver,2020-01-18 18:41:34
57,ppatterson,)D5*fNNb%w,monicalawrence@example.org,Customer,2021-06-21 19:27:56
58,griffincynthia,5ijO@Ozt(V,sjackson@example.com,RestaurantAdmin,2020-08-22 05:36:20
59,smichael,#5tPUpy24b,ndavis@example.net,Customer,2024-01-09 19:26:39
60,fowlerelizabeth,r^8Z4lc2l$,garycastillo@example.org,RestaurantAdmin,2023-09-22 09:43:09
61,hward,&bUXdsbKH3,vsanders@example.org,Customer,2020-02-18 01:12:32
62,susan44,572J@&bx+6,newmanpatricia@example.net,RestaurantAdmin,2022-11-07 21:55:56
63,beckmegan,8cHP$VLm!(,tiffanymartin@example.net,Driver,2022-05-15 11:07:29
64,ddelgado,(2%3NCw6HQ,williamscarlos@example.com,Customer,2022-12-06 05:50:22
65,samuelrivera,**0!NWt5H#,ogarrison@example.net,Driver,2021-11-26 04:12:11
66,rthomas,Kj!1PYw@*w,kenneth35@example.org,Customer,2023-07-19 21:42:08
67,randallallen,!nmIj!Nez8,jessicajones@example.org,RestaurantAdmin,2023-04-03 00:11:57
68,michaeldouglas,A!@1ZTkKFb,cooperkayla@example.com,Driver,2020-02-24 00:53:00
69,wyatt39,2)jYT8TKZc,anabrown@example.net,Customer,2022-04-25 01:52:52
70,jademayo,+zL(C&uF4u,laurie80@example.org,RestaurantAdmin,2022-07-14 04:20:02
71,ronald97,U!+dA4Og7s,austin24@example.com,Customer,2022-07-25 16:50:51
72,ohanson,^0NCmPO9Z7,davidmoss@example.net,Customer,2022-05-21 15:59:14
73,ann03,W6f71X#h(9,tracy92@example.org,PlatformAdmin,2020-04-09 14:09:07
74,emily75,^00Q*yNj%d,yharris@example.com,PlatformAdmin,2020-12-04 05:42:15
75,garciamitchell,L7Jdj)^x#I,brandonrobertson@example.org,RestaurantAdmin,2023-01-12 16:13:12
76,tsmith,KN8pUs(+v!,fturner@example.com,Customer,2021-02-17 10:40:17
77,eric56,28gZFjjo@1,donna25@example.net,RestaurantAdmin,2021-11-15 09:56:54
78,wrightemily,%)9APKuI9l,george13@example.com,RestaurantAdmin,2020-09-28 13:21:15
79,vchavez,SQ6CC(dcG$,lindseyschwartz@example.org,PlatformAdmin,2023-09-17 09:05:41
80,mooreclinton,#Z8g0NMnGw,bellashley@example.com,PlatformAdmin,2022-06-19 18:58:33
81,nguyenolivia,W%14FnVy#2,joshuarichards@example.net,Customer,2023-03-03 10:14:10
82,kdavis,570^5Vti+V,zhebert@example.org,RestaurantAdmin,2023-08-17 00:23:49
83,higginsmichelle,dt7EIzCm&*,brooksaudrey@example.com,PlatformAdmin,2022-10-24 21:48:56
84,irobertson,!6A7QxNwTx,carla88@example.org,PlatformAdmin,2021-03-08 03:45:44
85,adam98,#sMBQ@v1a2,greese@example.com,PlatformAdmin,2021-01-29 06:23:41
86,opalmer,o#Iw@B!o_3,ryanjohn@example.com,PlatformAdmin,2023-11-06 22:16:05
87,jessica10,mB6!KMc&#&,nwagner@example.net,Driver,2023-08-27 04:30:22
88,jeremymcbride,$hW1Wh0zl+,arhodes@example.org,PlatformAdmin,2022-04-12 02:19:10
89,qwagner,$G9KhMSw!1,patrick45@example.org,Customer,2023-11-20 04:25:01
90,dpatel,W2z6LdS5**,michelle93@example.org,Customer,2021-10-18 13:15:00
91,ywhitehead,tg0qvTze(T,valenzuelaregina@example.org,Driver,2022-06-23 11:42:32
92,robin21,zIX*56Scyc,walter75@example.com,RestaurantAdmin,2023-02-27 19:29:34
93,brooksdavid,e+7y7VvfeT,brittney93@example.com,PlatformAdmin,2020-05-15 15:22:41
94,courtneyyu,kWFN3Ws9$2,jonesbenjamin@example.com,Customer,2021-11-20 00:04:07
95,popemanuel,FH9Eqlde3#,zcox@example.org,RestaurantAdmin,2022-03-24 19:05:26
96,lvillanueva,$T8b+@OpOL,gary63@example.com,PlatformAdmin,2022-05-19 14:01:15
97,michaelcarroll,8eHPpcPE*x,paul99@example.net,RestaurantAdmin,2021-06-12 09:25:06
98,madison68,@xTu1cSC^_,gallen@example.net,PlatformAdmin,2020-08-21 05:09:36
99,pattersonemily,+6JJGXSK#d,david11@example.com,RestaurantAdmin,2020-12-12 10:14:58
100,qfitzgerald,Hf5sSFgw*G,hkrause@example.net,PlatformAdmin,2020-08-01 19:07:49
